ID,Region,District,Garden,Layout,Floor,Size,Elevator,Year,Direction,Renovation,Price,PerPrice
24,西城,马连道,红莲南里,2室1厅,7,61,无电梯,1992,南北,精装,470,7.70492
20061,西城,天宁寺,广安门外南街,2室1厅,6,54,无电梯,1980,南北,精装,535,9.90741
20083,西城,天宁寺,鸭子桥北里,2室1厅,6,51,无电梯,1981,东西,精装,470,9.21569
20088,西城,西单,西绒线,2室1厅,6,69,无电梯,2004,南北,精装,828,12
20106,西城,牛街,白广路,2室1厅,6,65,无电梯,1983,东西,精装,600,9.23077
20153,西城,六铺炕,教场口6号院,1室1厅,6,50,无电梯,2003,南北,精装,660,13.2
20154,西城,金融街,羊肉胡同120号院,3室1厅,6,77,无电梯,1990,南西北,精装,1050,13.6364
20173,西城,右安门内,右安门内西街1号院,2室1厅,6,78,无电梯,1990,南北,精装,745,9.55128
20183,西城,德胜门,冰窖口胡同73号院,2室1厅,6,58,无电梯,1987,南西北,精装,770,13.2759
20202,西城,阜成门,北营房西里,3室1厅,5,68,无电梯,1979,南北,精装,850,12.5
20204,西城,马连道,红莲南里,2室1厅,6,51,无电梯,1985,南北,精装,460,9.01961
20250,西城,陶然亭,虎坊路小区,2室1厅,5,52,无电梯,1958,东西,精装,578,11.1154
20262,西城,新街口,新街口西里一区,2室1厅,7,91,无电梯,2003,西,精装,799,8.78022
20278,西城,德胜门,德胜里一区,3室1厅,5,63,无电梯,1986,南北,精装,887,14.0794
20304,西城,马甸,德胜门外大街1号院,2室1厅,6,56,无电梯,1990,西,精装,790,14.1071
20323,西城,右安门内,右安门内西街甲10号院,2室1厅,6,62,无电梯,1982,南北,精装,580,9.35484
20338,西城,马甸,新外大街甲8号院,2室1厅,6,60,无电梯,1989,南,精装,818,13.6333
20340,西城,德胜门,德胜里一区,3室1厅,6,71,无电梯,1988,南北,精装,960,13.5211
20342,西城,月坛,阜成门外大街甲40号,2室1厅,5,59,无电梯,1979,南北,精装,720,12.2034
20347,西城,牛街,平渊北里,2室1厅,5,51,无电梯,1974,南,精装,520,10.1961
20353,西城,马甸,裕中东里,2室1厅,6,59,无电梯,1988,南北,精装,735,12.4576
20356,西城,右安门内,新安中里,3室1厅,6,83,无电梯,2004,南北,精装,790,9.51807
20362,西城,马甸,裕中东里,2室1厅,6,59,无电梯,1990,南北,精装,740,12.5424
20366,西城,金融街,羊肉胡同120号院,3室1厅,6,76,无电梯,1990,南北,精装,950,12.5
20379,西城,马甸,新风北街,2室1厅,6,63,无电梯,1995,东西,精装,850,13.4921
20392,西城,广安门,小红庙,2室1厅,6,65,无电梯,1987,东西,精装,590,9.07692
20396,西城,天宁寺,天宁寺西里,2室1厅,6,58,无电梯,1986,南北,精装,496,8.55172
20400,西城,广安门,车站西街15号院,3室1厅,6,89,无电梯,1999,南北,精装,800,8.98876
20401,西城,广安门,车站西街13号院,3室1厅,6,78,无电梯,1995,东南,精装,729,9.34615
20403,西城,右安门内,里仁街3号院,2室2厅,6,75,无电梯,1995,东西北,精装,750,10
20405,西城,马甸,新外大街6号院,3室1厅,6,83,无电梯,1987,南北,精装,920,11.0843
20442,西城,六铺炕,德外大街乙12号院,2室1厅,6,60,无电梯,1983,南北,精装,740,12.3333
20448,西城,马甸,双旗杆东里,2室1厅,5,53,无电梯,1979,南,精装,667.5,12.5943
20449,西城,长椿街,思源胡同,2室1厅,6,57,无电梯,1991,南北,精装,570,10
20450,西城,右安门内,信建里小区,2室1厅,6,65,无电梯,2000,南北,精装,700,10.7692
20462,西城,木樨地,西便门外大街,2室1厅,4,66,无电梯,1957,东南,精装,596,9.0303
